游戏名,vndb_id,中文名,别名,发行年份,品牌,限制级,脚本,原画,音乐,声优,难度,平均分,评分人数,rank,系列作,时长,时长分钟,tag1,tag2,tag3,tag4,tag5,tag6,tag7,tag8,tag9,tag10,tag11
WHITE ALBUM2 -closing chapter-,v7771,白色相簿2 终章,ホワイトアルバム2、WHITE ALBUM2 -c.c.-、WA2 CC,2011,Leaf/AQUAPLUS,R18,丸戸 史明、企画屋,なかむら たけし、みつみ 美里、甘露 樹、水野 早桜、木村 隆夫、桂 憲一郎、甘味 みきひろ、金丸,石川 真也、松岡 純也、中上 和英、下川 直哉、藤間 仁、上松 範康、衣笠 道雄、M.I.S.N、光田 英生,水島 大宙、羽吹 梨里、浅川 悠、米澤 円、生天目 仁美、永田 依子,beginner、easy、normal,9.1,7073,6,是,超长篇,4800,多角恋,雪,音乐主题,,,,,,,,
大帝国,v3066,大帝国,,2011,Alice Soft,R18,HIRO、イマーム、とり、ふみゃ、ヨイドレ・ドラゴン、Flypaper,織音、MIN-NARAKEN、むつみ まさと、おにぎりくん、K、月餅、えび ちり,Shade、HIRO、水夏 える,胸肩 腎、一条 和矢、東 かりん、澄白 キヨカ、まき いづみ、彩世 ゆう、草柳 順子、雪村 とあ、青井 美海、柚木 サチ、高槻 つばさ、小次狼、こんつ、風見 健,easy、normal,6.8,721,4824,是,超长篇,3007,犯罪,战争,,,,,,,,,
美少女万華鏡 -呪われし伝説の少女-,v8038,美少女万华镜 -被诅咒的传说少女-,美少女万華鏡1、Biman、Bishoujo Mangekyou: A Girl's Cursed Legend,2011,ωstar,R18,吉祥寺 ドロレス,八宝備 仁,むにょっ、盛合 千鶴子、ポパン、秋山 裕和,青空 ラムネ,beginner、easy、normal,6.9,4588,4316,是,短篇,375,梦境,宅邸,单女主,,,,,,,,
ランス・クエスト,v6985,兰斯8,Rance8、RanceVIII、Rance quest,2011,Alice Soft,R18,イマーム、ふみゃ、よーいちろー、ヨイドレ・ドラゴン,織音,Shade、水夏 える,无配音,easy、normal,7.4,1687,1706,是,超长篇,4494,奇幻,魔法,,,,,,,,,
いろとりどりのセカイ,v5834,五彩斑斓的世界,Colorful World、Irotoridori No Sekai - The Colorful World、色鸟鸟,2011,FAVORITE,R18,漆原 雪人,なつめ えり、司田 カズヒロ、GT,忍、菊地 創、WACHA,藤森 ゆき奈、澤田 なつ、杏子 御津、加乃 みるく、外屋 舞美,beginner、easy、normal,7.4,2482,1756,是,长篇,2730,奇幻,失忆,夏天,末日,梦境,真女主,,,,,
女装山脈,v6589,女装山脉,3myaku,2011,Nounai Kanojo,R18,西田 一、芳井 一,あおぎり ぺんた,磯村 カイ,民安 ともえ、小倉 結衣、鈴宮 まい,easy、normal,6.1,1232,9023,否,中篇,600,乡村,,,,,,,,,,
euphoria,v6540,,ユーフォリア,2011,CLOCKUP,R18,和泉 万夜、浅生 詠,はましま 薫夫,上原 一之龍,御苑生 メイ、このは、ヒマリ、青空 ラムネ、杉原 茉莉,beginner、easy、normal,7.1,3522,2913,否,长篇,1888,悬疑,科幻,失忆,血腥,犯罪,记忆篡改,梦境,真女主,,,
穢翼のユースティア,v3770,秽翼的尤斯蒂娅,Aiyoku no Eustia、脏翅膀,2011,AUGUST,R18,榊原 拓、内田 ヒロユキ、安西 秀明,べっかんこう、北川 由貴、ゆうろ,Ceui、小高 光太郎、スミイ酸、藤井 亮太、Thomas Bianco,桐谷 華、沖野 靖広、大石 恵三、遠野 そよぎ、篠宮 聖美、森保 しほ、橘 桜、海老原 柚葉,beginner、easy、normal,8.3,7949,153,否,长篇,2426,战斗,奇幻,阴谋,末日,犯罪,战争,真女主,疾病,,,
グリザイアの果実,v5154,灰色的果实,グリカジ、gurikaji、Grikaji、Gray Scale、World's end、Le Fruit De La Grisaia、The Fruit of Grisaia、灰果,2011,Frontwing,R18,藤崎 竜太、木緒 なち、鳴海 瑛二、かづや、桑島 由一,フミオ、渡辺 明夫、ななか まい、加藤 たいら,Elements Garden、菊田 大介、藤間 仁、藤田 淳平、菊地 創、母里 治樹、中山 真斗、￥Cuスタ平,雪見 そら、一色 ヒカル、民安 ともえ、羽仁 麗、岡村 美佳沙,easy、normal,7.7,1480,873,是,超长篇,4610,战斗,夏天,犯罪,,,,,,,,
Rewrite,v751,,リライト、Riraito、罚抄,2011,Key,全年龄,田中 ロミオ、竜騎士07、都乃河 勇人,樋上 いたる、氏河 凌宇,MANYO、麻枝 准、折戸 伸治、水月 陵、塚越 雄一朗、細井 聡司、井内 舞子、YOFFY、三輪 学、a2c、MintJam、森藤 晶司、ANANT-GARDE EYES、大石 憲一郎,森田 成一、喜多村 英梨、すずき けいこ、斎藤 千和、朝樹 りさ、篠宮 沙弥,beginner、easy、normal,8.6,5214,59,否,超长篇,4620,战斗,奇幻,失忆,超能力,魔法,末日,民俗,,,,
無限煉姦～恥辱にまみれし不死姫の輪舞～,v8311,无限炼奸 ~不死舞姬的凌辱轮舞曲~,Eternal Purgatory、无限炼奸,2011,Liquid,R18,和泉 万夜,黒石 りんご,上原 一之龍,香澄 りょう、三郷 綾夢、倉田 まりや、葵 時緒,easy、normal,7.5,1311,1401,否,中篇,1230,战斗,奇幻,时间旅行,,,,,,,,
LOVELY×CATION,v6682,,ＬＯＶＥＬＹ×Ｃ∧ＴＩＯＮ、ラブリ×ケーション、Start of daydream that continues through all eternity、L×C,2011,Akatsuki WORKS（晓WORKS）,R18,insider,唯々月 たすく,mo2,榊原 ゆい、まき いづみ、瀬良木 若菜、愛原 ちづる、海乃 奏多,easy、normal,6.7,987,5633,否,中篇,1370,,,,,,,,,,,
誰が殺したコマドリを,v8436,谁杀死了知更鸟,Qui a tué Cock Robin、Who killed the robin?、是谁杀死了知更鸟,2011,Smile Senki,R18,瑞守 ねおん、かほく 麻緒,翠燕,アメディオ,一色 ヒカル、飯田 空,easy、normal,5,1109,10424,否,短篇,270,同性恋,,,,,,,,,,
コープスパーティー Book of Shadows,v7849,尸体派对 影之书,CP BS、CoPa BoS,2011,MAGES.,全年龄,やまだ 有見、祁答院 慎、関根 聡子、池端 亮、神城 咲弥、恵莉 ひなこ,Nino、祁答院 慎、神城 咲弥、匿名ヒーロー,濱本 麻央、濱田 智之,Mako,normal,7.1,377,3162,是,中篇,1310,悬疑,奇幻,血腥/血浆,时间旅行,异次元/平行世界,凶杀,民俗,,,,
リアル妹がいる大泉くんのばあい,v3746,实妹相伴的大泉君,Riaimo、Real Imouto gairu Ooizumikun no Baai,2010,Alcot,R18,おるごぅる,風見 春樹、タコ焼き、あおな まさお,Angel Note、神代 あみ、森 まもる、椎名 俊介、BAL,遠野 そよぎ、日向 苺、氷川 めぐみ,easy、normal,7.1,1695,3203,否,中篇,600,meta,,,,,,,,,,
星空へ架かる橋,v2968,架向星空之桥,Hoshikaka、A Bridge to the Starry Skies,2010,feng,R18,あくまっこ、柊★たくみ,涼香、有河 サトル、獏プロダクション、なちゅらるとん、鶴崎 貴大、ぞうあざらし,藤間 仁、藤田 淳平、上松 範康、大久保 薫,青葉 りんご、桃井 いちご、いすず あすか、森谷 実園、鈴木 らん,easy、normal,6.4,822,7279,是,长篇,2475,meta,乡村,,,,,,,,,
沖縄スレイブアイランド,v7691,冲绳奴隶岛,冲绳萝莉岛、重生萝莉岛,2010,Underground Campaign,R18,とりきくーや,藤本 郷,まっつぁん,无配音,normal,3,408,10551,否,中篇,600,岛屿,同性恋,,,,,,,,,
WHITE ALBUM2 -introductory chapter-,v7771,白色相簿2 序章,ホワイトアルバム2、WHITE ALBUM2 -i.c.-、WA2ic,2010,Leaf/AQUAPLUS,R18,丸戸 史明、企画屋,なかむら たけし、みつみ 美里、甘露 樹、水野 早桜、木村 隆夫、桂 憲一郎、甘味 みきひろ、金丸,石川 真也、松岡 純也、中上 和英、下川 直哉、藤間 仁、上松 範康、衣笠 道雄、M.I.S.N、光田 英生,水島 大宙、羽吹 梨里、浅川 悠、米澤 円、生天目 仁美、永田 依子,beginner、easy、normal,8.2,5757,235,是,超长篇,4800,多角恋,雪,音乐主题,,,,,,,,
恋と選挙とチョコレート,v4028,恋爱和选举和巧克力,恋チョコ、Koi to Senkyo to Chocolate - Love、Election and Chocolate、恋爱与选举与巧克力,2010,sprite,R18,高瀬 伸、森の瞳、なたけ、田中 一郎、堅木 功、藤井 和敏,春夏冬 ゆう,I've、Elements Garden、一色 由比、菊田 大介、藤間 仁、藤田 淳平、上松 範康、小高 光太郎、母里 治樹、中沢 伴行、中山 真斗,鳴坂 ありす、桃井 穂美、杏子 御津、井ノ原 理子、小夏 スミレ、杜若 桔梗,easy、normal,6.5,1033,6782,否,长篇,2100,多角恋,真女主,,,,,,,,,
黄昏のシンセミア,v3938,黄昏的禁忌之药,Sinsemia、Shinsemia、Shinsemilla,2010,Applique,R18,桐月,オダワラハコネ,伊福部 武史、Angel Note、鷹石 しのぶ、しほり、kala、森 まもる、井ノ原 智,夏野 こおり、青山 ゆかり、平山 紗弥、芹園 みや,beginner、easy、normal,7.5,2101,1451,否,长篇,2625,悬疑,夏天,民俗,乡村,,,,,,,
素晴らしき日々～不連続存在～,v3144,美好的每一天 ～不连续的存在～,SubaHibi、すば日々、すばひび、素晴日,2010,KeroQ,R18,SCA-自、文音、藤倉 絢一,SCA-自、基4%、硯、karory、吉田 誠治、籠目、新川 尚士,ピクセルビー、szak、ryo、H.B STUDIO、Erik Satie,かわしま りの、北都 南、小倉 結衣、成瀬 未亜、西田 こむぎ、如月 葵、佐山 森、夏村 伊介、涼屋 スイ,beginner、easy、normal,8.7,8462,36,是,超长篇,3096,悬疑,电波,血腥,夏天,meta,超现实,,,,,
星空のメモリア -Wish upon a shooting star-,v1474,星空的记忆 -Wish upon a shooting star,Hoshizora no Memoria -Wish upon a Shooting Star-、星空的记忆,2009,FAVORITE,R18,なかひろ,司田 カズヒロ、GT、ミズタマ,忍、新垣 トシオ、WACHA、Gakkie,楠 鈴音、藤森 ゆき奈、東 かりん、杏子 御津、佐本 二厘、宮沢 ゆあな、みなづき 蓮,easy、normal,7.8,1774,741,否,超长篇,3412,奇幻,失忆,民俗,梦境,,,,,,,
Flyable Heart,v1179,,The future has already begun.、フライアブルハート、飞翔的心,2009,Unison Shift: Blossom,R18,あごバリア、風間 ぼなんざ、@ピース、神野 正樹、市川 環,いとう のいぢ、ぺろ、笹倉 綾人,水月 陵,茶谷 やすら、遠野 そよぎ、涼森 ちさと、宮沢 ゆあな,easy、normal,6.9,596,3987,否,长篇,2145,失忆,时间旅行,真女主,,,,,,,,
夏ノ雨,v1898,夏之雨,Summer Rain、姐之雨,2009,CUBE,R18,紺野 アスタ、皆本 あいる,カントク、兼清 みわ,安瀬 聖、Peak A Soul+,澤田 なつ、さくら はづき、佐本 二厘、二葉 みんと,easy、normal,6.9,677,4154,否,中篇,1534,夏天,,,,,,,,,,
ハルカナソラ,v1899,悠之空,HnS、ヨスガノソラ Fun Disk、Yosuga no Sora Fandisk,2009,Sphere,R18,太刀風 雪路、なつかぜ かおる、朝倉 誠理,鈴平 ひろ、橋本 タカシ,Duca、Manack,白波 遥、一色 ヒカル、姫川 あいり,easy、normal,6.5,1605,6756,否,中篇,900,乡村,单女主,,,,,,,,,
うみねこのなく頃に散,v2153,海猫鸣泣之时散,When They Cry 4、When the Seagulls Cry Breakdown,2009,07th Expansion,全年龄,竜騎士07,FFC、江草 天仁、竜騎士07,志倉 千代丸、悠木 真一、dai、zts、志方 あきこ、上野 浩司、pre-holder、ラック眼力、xaki、-45、M.Zakky、CAP、さゆり,沢城 みゆき、小野 大輔、桑谷 夏子,easy、normal,8.6,1464,51,是,超长篇,4275,悬疑,奇幻,血腥,魔法,宅邸,犯罪,岛屿,,,,
クロウカシス 七憑キノ贄,v2626,白雪～七凭之祭～,,2009,Innocent Grey,R18,鈴鹿 美弥,杉菜 水姫,MANYO,あじ 秋刀魚、葉村 夏緒、秋城 柚月、かわしま りの、高井戸 雫、優稀 澪,easy、normal,5.9,584,9346,否,中篇,900,悬疑,血腥,犯罪,宅邸,雪,,,,,,
STEINS;GATE,v2002,命运石之门,シュタインズゲート、S、G、石头门,2009,NITRO+、MAGES.,全年龄,林 直孝、下倉 バイオ、谷崎 央佳,天空 のぞら、huke、石井 久雄、樋口 聡一、みんめい,志倉 千代丸、磯江 俊道、林 達志、オオバ コウスケ、阿保 剛、AKIRASTAR、DJ SADOI,田村 ゆかり、花澤 香菜、今井 麻美、宮野 真守、後藤 沙緒里、小林 ゆう、桃井 はるこ、関 智一,beginner、easy、normal,8.9,8387,11,是,长篇,2625,悬疑,科幻,时间旅行,夏天,阴谋,犯罪,真女主,,,,
きっと、澄みわたる朝色よりも、,v1483,从晴朗的朝色泛起之际开始,Asairo、Kissumi,2009,propeller,R18,朱門 優,やすゆき、ヨダ,樋口 秀樹,青山 ゆかり、有栖川 みや美、木島 宇太、さくら はづき、真中 海,easy、normal,7.5,1168,1324,否,长篇,1905,悬疑,转生/轮回,民俗,真女主,,,,,,,
ナツユメナギサ,v1755,夏梦渚,Natsunagi、ナツナギ、Natsuyume Nagisa,2009,SAGA PLANETS,R18,新島 夕、なたけ、木之本 みけ、若林 浩太郎、若瀬 諒、姫ノ木 あく、藤井 リルケ,せせな やう、ほんたにかなえ、有末 つかさ、小桜 りょう,I've、中沢 伴行、尾崎 武士、藤宮 圭、メビウスワン,青山 ゆかり、美月、佐本 二厘、田中 美智、植原 なぎさ,easy、normal,7.4,593,1826,是,中篇,1365,悬疑,失忆,时间旅行,夏天,岛屿,meta,梦境,,,,
"BALDR SKY Dive2 ""RECORDARE""",v1913,,バルドスカイ ダイブ2 レコルダーレ、BSD2、Baldrsky 2,2009,GIGA,R18,卑影 ムラサキ、企画屋,菊池 政治、鈴弥 ねね,Little Wing、I've、Barbarian On The Groove、SHIM、C.G Mix、尾崎 武士,さくら はづき、神村 ひな、岩田 由貴、山下 一真,beginner、easy、normal,8.8,3197,23,是,超长篇,3540,战斗,科幻,失忆,阴谋,末日,机甲,战争,真女主,,,
"BALDR SKY Dive1 ""LostMemory""",v1306,,バルドスカイ ダイブ1 ロストメモリー、BSD1、Baldrsky 1,2009,GIGA,R18,卑影 ムラサキ、企画屋,菊池 政治、鈴弥 ねね,Little Wing、Barbarian On The Groove、SHIM、C.G Mix、mo2,安玖深 音、井村屋 ほのか、山下 一真、神谷 奈央,beginner、easy、normal,8.4,3120,114,是,超长篇,3000,战斗,科幻,失忆,阴谋,末日,机甲,战争,,,,
"eden* They were only two, on the planet.",v1286,,eden*、Eden,2009,minori,R18,鏡 遊,KIMちー、ちこたむ,天門、柳 英一朗,志村 由美、後藤 麻衣、間島 淳司、中島 裕美子、中村 繪里子、船橋 まい,beginner、easy、normal,7.9,5535,600,否,中篇,600,战斗,科幻,末日,真女主,,,,,,,
装甲悪鬼村正,v2016,装甲恶鬼村正,FullMetal Daemon Muramasa、Full Metal Daemon Muramasa、FMD Muramasa、Armored Demon Muramasa、村正、Muramasa,2009,NITRO+,R18,奈良原 一鉄,なまにくATK,ジズ,石川 ゆうすけ、海原 エレナ、氷河流、金田 まひる、吉川 華生、須本 綾奈、祭大!、葵 海人、深川 緑,beginner、easy、normal,8.6,4363,45,否,超长篇,4440,战斗,奇幻,阴谋,末日,犯罪,机甲,战争,民俗,,,
俺たちに翼はない,v1141,我们没有翅膀,おれつば、Oretsuba、We Don't Have Wings、We Without Wings,2009,Navel,R18,王 雀孫、東ノ助,西又 葵、たけぽん、ごろう,アッチョリケ、堀江 晶太,沢村 かすみ、たなか りお、遠野 そよぎ、五行 なずな、泉 菊之介、川椰 珱、縦溝 精史、籐野 らん、森谷 実園、みなせがわ ゆい,easy、normal,8.3,986,179,是,超长篇,3645,咖啡厅,,,,,,,,,,
ましろ色シンフォニー -Love is Pure White-,v1552,纯白交响曲,Love is pure white、Mashifoni、ましフォニー,2009,Palette,R18,おるごぅる、北川 晴、保住 圭、ん。,和泉 つばす、いも、たまひよ、Mi+、草薙,BURTON、田辺 トシノ、大久保 薫,田口 宏子、壱智村 小真、小野 涼子、後藤 麻衣、力丸 乃りこ、吉田 真弓,beginner、easy、normal,7.2,2086,2862,否,长篇,2075,,,,,,,,,,,
天神乱漫 -LUCKY or UNLUCKY!?-,v1322,天神乱漫 -LUCKY or UNLUCKY!?-,天神乱漫 LUCKY or UNLUCKY!?,2009,Yuzusoft,R18,北川 晴、天宮 りつ,こぶいち、むりりん、セレビィ 量産型,Angel Note、Famishin、神代 あみ、井ノ原 智、椎名 俊介,田口 宏子、ゆかな、岡嶋 妙、後藤 麻衣、成瀬 未亜、伊藤 静、佐本 二厘,easy、normal,6.8,1795,5201,否,长篇,2609,民俗,真女主,,,,,,,,,
FORTUNE ARTERIAL,v87,,fa、フォアテリ、フォーチュンアテリアル,2008,AUGUST,R18,榊原 拓、内田 ヒロユキ、安西 秀明、岡田 留奈,べっかんこう、脳みそホエホエ、北川 由貴、ゆうろ,Active Planets、スミイ酸、DJ SHIMAMURA、NOIZ'nGIRL、qurter、池田 智宣,鷹月 さくら、楠 鈴音、雛見 風香、観村 咲子、姫川 あいり,easy、normal,7,825,3488,否,长篇,2070,岛屿,失忆,奇幻,,,,,,,,
暁の護衛,v629,晓之护卫,AkaGoei、Guard of Daybreak、曉之護衛,2008,Syangrila,R18,衣笠 彰梧,トモセ シュンサク,志倉 千代丸、伊福部 武史、Angel Note、椎名 俊介,大波 こなみ、榊原 ゆい、成瀬 未亜、如月 葵、大花 どん,easy、normal,6.9,1415,4078,是,中篇,1547,反乌托邦,,,,,,,,,,
ヨスガノソラ,v1194,缘之空,In Solitude、Where We are Least Alone.、Yosusora,2008,Sphere,R18,田中 タクヤ、太刀風 雪路、朝倉 誠理,鈴平 ひろ、橋本 タカシ,折倉 俊則、Manack,白波 遥、遠野 そよぎ、五行 なずな、木村 あやか、月城 真菜,beginner、easy、normal,7,3878,3513,否,中篇,1744,民俗,乡村,,,,,,,,,
戦女神ZERO,v768,战女神ZERO,Battle Goddess Episode 0、BG0、IMZ,2008,Eushully,R18,矢田 影見、松江 旺來、高杉 九郎、若葉 祥慶,鳩月 つみき,有限会社 クワイア,かわしま りの、芹園 みや、富樫 ケイ、知七,easy、normal,8.2,680,257,是,超长篇,3570,奇幻,失忆,,,,,,,,,
夏空カナタ,v701,夏空彼方,Beyond the Summer Sky、Natuzora Kanata、Natsukana、夏カナ,2008,Yuzusoft,R18,玉沢 円、天宮 りつ,こぶいち、むりりん,伊福部 武史、Famishin、kala、森 まもる、Saki,夏野 こおり、みる、成瀬 未亜,easy、normal,7.2,1375,2547,是,中篇,1125,奇幻,失忆,夏天,岛屿,民俗,真女主,咖啡厅,,,,
G線上の魔王,v211,G弦上的魔王,G弦、G-senjou no Maou、The Devil on G-String,2008,AKABEiSOFT2,R18,るーすぼーい,有葉,志倉 千代丸、tiko-μ、藤田 淳平、磯江 俊道,かわしま りの、海原 エレナ、ほうでん亭 らっぱ、金田 まひる、河合 春華、紫華 すみれ,beginner、easy、normal,7.8,4535,614,否,长篇,2112,悬疑,阴谋,犯罪,真女主,,,,,,,
るいは智を呼ぶ,v776,智以泪聚,るい智、ruitomo,2008,Akatsuki WORKS（晓WORKS）,R18,日野 亘、衆堂 ジョオ,みずき 佑真、さえき 北都、獏プロダクション,Angel Note、佐々倉 マコト、tiko-μ、井ノ原 智、椎名 俊介,鷹月 さくら、小手島 ひばり、有栖川 みや美、佐本 二厘、桜坂 かい、天乃 そら、水鏡,easy、normal,7.5,499,1440,否,长篇,2486,悬疑,奇幻,超能力,民俗,同性恋,,,,,,
媚肉の香り～ネトリネトラレヤリヤラレ～,v470,媚肉之香,,2008,elf,R18,土天 冥海,市川 小紗、小林 勝寿,平林 征児、MaRBiN、Sinn.planet,奥田 香織、本山 美奈、三園 あすか、星川 未流来,beginner、easy、normal,7.9,2906,523,否,中篇,1200,悬疑,宅邸,,,,,,,,,
殻ノ少女,v810,壳之少女,Girl in the Shell、Kara no Shoujo - The First Episode、KnS1、壳少,2008,Innocent Grey,R18,鈴鹿 美弥,杉菜 水姫,MANYO,あじ 秋刀魚、葉村 夏緒、吉田 美海、日向 葵、かわしま りの、滝沢 アツヤ、髭内 悪太,beginner、easy、normal,7.6,3645,1202,是,中篇,1560,悬疑,血腥,犯罪,,,,,,,,
12RIVEN -the Ψcliminal of integral-,v247,12R跳跃的时空,12Riven: The Psi-Climinal of Integral,2008,KID,全年龄,林 直孝、打越 鋼太郎、若林 健、松川 しゅうさく、武田正憲,滝川 悠、ぼみ、相澤 こたろー、長坂 寛治,沢村 竣、上野 浩司、志倉 千代丸、阿保 剛、濱田 智之,諏訪部 順一、高橋 直純、小林 ゆう、佐藤 利奈、清水 愛、松風 雅也、大塚 明夫、野中 藍、木川 絵理子、中村 俊洋,normal,7,405,3825,是,中篇,1522,悬疑,战斗,科幻,时间旅行,超能力,末日,记忆篡改,单女主,,,
11eyes -罪と罰と贖いの少女-,v729,11eyes -罪与罚与赎的少女-,Sin、Damnation and the Atonement Girl,2008,Lass,R18,LEGIOん、剣技 マナ,よう太、ちこたむ、鳴海 ゆう、Kengou、萩原音泉、小沢 悠、ぞうあざらし,坂本 昌一郎、塩田 幸成、細江 慎治、Tatsh、黒瀬 圭亮、清水 永之,浅川 悠、小野 大輔、壱智村 小真、森久保 祥太郎、後藤 麻衣、力丸 乃りこ、萩原 えみこ,easy、normal,7.2,1354,2564,是,长篇,2826,悬疑,战斗,奇幻,失忆,魔法,转生/轮回,末日,梦境,,,
CHAOS;HEAD,v382,混沌头,ChäoS、HEAd、C、H、カオスヘッド、カオヘ,2008,NITRO+、MAGES.,全年龄,林 直孝,ささき むつみ、松尾 ゆきひろ、輿水 隆之、池田 靖宏,志倉 千代丸、阿保 剛、磯江 俊道、林 達志、大山 曜、神保 伸太郎、5zizz,吉野 裕行、喜多村 英梨、生天目 仁美、辻 あゆみ、榊原 ゆい、宮崎 羽衣、たかはし 智秋,beginner、easy、normal,6.9,2305,4161,否,中篇,1660,悬疑,战斗,科幻,血腥,阴谋,犯罪,meta,电波,,,
世界でいちばんNG（だめ）な恋,v415,世界上最NG的恋爱,NG恋、世界で一番NGな恋、世界でいちばんだめな恋、Sekai de Ichiban NG na Koi、The World's Most Forbidden Love、DameKoi、SekaiDame、世界でいちばんNGな恋,2007,HERMIT,R18,丸戸 史明、企画屋,みこし まつり、鳥取 砂丘,片霧 烈火、ロドリゲス のぶ、如月 まさと,夏野 こおり、一色 ヒカル、榊原 ゆい、風音、先割れ丼、芝原 のぞみ,easy、normal,7.5,774,1310,否,中篇,1500,多角恋,真女主,,,,,,,,,
ひまわり -Pebble in the Sky-,v210,向日葵：天空鹅卵石,Himawari - The Sunflower -、ひまわり -Pebble in the Sky-,2007,Blank Note,R18,ごぉ,空中 幼彩、イチリ、たつきち,菊地 創、dai、SENTIVE、chica、竹中 敬一、如月 秋祐、煉獄庭園、プロパンモード、SAM Free Music,川澄 綾子、田村 ゆかり、保志 総一朗、野中 藍,easy、normal,7.7,530,826,否,长篇,2460,科幻,失忆,多角恋,阴谋,记忆篡改,,,,,,
キラ☆キラ,v414,KIRA☆KIRA 煌煌舞台,KiraKira,2007,OVERDRIVE,R18,瀬戸口 廉也,片倉 真二,milktub、ms-jacky、一番星 ☆光、Quality,瑞沢 渓、浜田 賢二、泰 勇気、中村 知子、小島 めぐみ,beginner、easy、normal,8.4,2471,109,否,长篇,1800,夏天,音乐主题,真女主,,,,,,,,
narcissu SIDE 2nd,v70,水仙2,水仙2,2007,Stage-nana,R18,片岡 とも,司 ゆうき、ごとP,水月 陵、Barbarian On The Groove、猫野 こめっと、SENTIVE、ebi、MASA、石橋 弘史、onoken、菊地 創、館内 明、Birth Entertainment、僧天、sin,やなせ なつみ,beginner、easy、normal,8.2,3502,250,是,短篇,276,夏天,单女主,疾病,,,,,,,,
うみねこのなく頃に,v24,海猫鸣泣之时,When They Cry 3、When The Seagulls Cry,2007,07th Expansion,全年龄,竜騎士07,FFC、江草 天仁、竜騎士07,dai、志倉 千代丸、ラック眼力、zts、片霧 烈火、志方 あきこ、羽鳥 風画、pre-holder、xaki、-45、スミイ酸、M.Zakky、CAP、NYO、ZUN、プレコ、荒井 英理也、U2 Akiyama、土井 宏紀、グラサンねこ、Ryu-Ga,堀江 由衣、田中 敦子、鈴村 健一、小野 大輔、小林 ゆう、釘宮 理恵、小清水 亜美、小杉 十郎太、伊藤 美紀、上別府 仁資、広瀬 正志、井上 麻里奈、小山 力也、麦人、篠原 恵美、羽鳥 靖子、船木 真人、石住 昭彦,beginner、easy、normal,8.4,2477,124,是,超长篇,4575,悬疑,奇幻,血腥,魔法,岛屿,宅邸,犯罪,,,,
赫炎のインガノック -What a beautiful people-,v417,赫炎的印加诺克 ～何等美好的人们～,Inganock of the Rage Fire,2007,Liar-soft,R18,桜井 光,大石 竜子,Blueberry&Yogurt,かわしま りの、越 雪光、野月 まひる、竹田 彬夫,easy、normal,7.4,718,1591,是,中篇,1200,悬疑,奇幻,失忆,超能力,反乌托邦,疾病,,,,,
リトルバスターズ！,v5,Little Busters!,Little Busters!,2007,Key,R18,麻枝 准、都乃河 勇人、城桐 央、樫田 レオ、藤井 知貴,Na-Ga、樋上 いたる、鳥の,麻枝 准、折戸 伸治、石田 直樹、Manack、中沢 伴行、尾崎 武士、MintJam、ANANT-GARDE EYES、moresis、戸越 まごめ、水月 陵、高瀬 一矢、a2c、PMMK,田中 涼子、田宮 トモエ、緑川 光、神奈 延年、すずき けいこ、金子 明美、風音、荒井 悠美、織田 優成、柳瀬 なつみ、鴨ノ宮 ゆう,easy、normal,8.4,988,138,否,超长篇,4974,战斗,时间旅行,梦境,真女主,,,,,,,
続・殺戮のジャンゴ —地獄の賞金首—,v428,续·杀戮之姜戈—地狱通缉犯—,Tre Donne Crudeli、Zoku Satsuriku no Jango,2007,NITRO+,R18,虚淵 玄,Nishii,ジズスタジオ,空乃 太陽、鈴美 巴、篠崎 双葉、岩田 由貴,easy、normal,8.2,1042,266,否,中篇,780,战斗,科幻,犯罪,,,,,,,,
この青空に約束を―,v182,青空下的约定,こんにゃく、Konnyaku、The Promise I made over this Blue Sky、この青空に约束を―,2006,GIGA,R18,丸戸 史明、企画屋,ねこにゃん,藤井 稿太郎、イワシロ音楽素材、MANYO、藤田 淳平、志倉 千代丸、なるちょ、上野 浩司、大山 曜、水夏 える、ave;new、C.G Mix、R.H、a.k.a.dRESS、桜乃 明日華、根本 日出美,涼宮 琉那、北都 南、草柳 順子、紫苑 みやび、佐本 二厘、石川 乃奈、篠崎 双葉、河合 春華、名塚 佳織,easy、normal,7.8,1745,660,是,长篇,1800,夏天,岛屿,乡村,,,,,,,,
マブラヴ オルタネイティヴ,v92,Muv-Luv Alternative,MLA、Muvluv Alternative,2006,age,R18,松永 北斗、タシロ ハヤト、吉宗 鋼紀,Bou、バカ王子 ペルシャ,飯塚 昌明、Sage Koizumi、影山 ヒロノブ、渡来亜人、Angel Note、安瀬 聖、七瀬 光、岩崎 琢、加持久 忍、河野 陽吾、Peak A Soul+、南 良樹、磯江 俊道、川谷 吉和、上田 益,奥田 秋、栗林 みな実、吉野 なつき、野中 真澄、北都 南、相庭 剛志、高柳 香帆、稲葉 貴子,beginner、easy、normal,8.8,4004,17,是,超长篇,3288,战斗,末日,机甲,战争,反乌托邦,科幻,,,,,
I/O,v96,,アイオー、I、O revision II,2006,Regista,全年龄,中澤 工、高城 葵、大原 広行、秦 寛博,Soyosoyo,志倉 千代丸、onoken,田中 涼子、永田 佳代、たかはし 智秋、吉田 愛理、萩 道彦、相田 さやか、松園 ルイ,easy、normal,8.1,997,324,否,长篇,2626,悬疑,战斗,科幻,失忆,时间旅行,犯罪,,,,,
